seed,method,type,n_series,mean_mase,median_mase
2030,mDT_base,A,80,1.044170620898976,0.8914776845923096
2030,mDT_base,B,60,1.3006803031916931,1.0241790527315824
2030,mDT_base,C,40,0.9588768304448809,0.7842609887352547
2030,mDT_base,D,20,0.8262133808271772,0.6677011990828907
2030,mDT_base,ALL,200,1.0822690434887923,0.8727613174245885
2030,mDT_deriv,A,80,1.0601458798376293,0.8984868593525677
2030,mDT_deriv,B,60,1.3312989421448946,1.045092350262896
2030,mDT_deriv,C,40,0.9961002442818824,0.8099437241163878
2030,mDT_deriv,D,20,0.832163239192812,0.692161705281543
2030,mDT_deriv,ALL,200,1.1058844073541778,0.8990121402910094
2030,mDT_seas,A,80,1.043185774847676,0.8478205502293681
2030,mDT_seas,B,60,1.2593352222164076,0.9541250696365364
2030,mDT_seas,C,40,0.9252372345130945,0.7190302016615808
2030,mDT_seas,D,20,0.8265157779455425,0.7291977560260459
2030,mDT_seas,ALL,200,1.062773901301166,0.8378207405583113
2030,mDT_both,A,80,1.03317927567413,0.8567142166492341
2030,mDT_both,B,60,1.1812203076255399,0.9500954418047507
2030,mDT_both,C,40,1.2588542095658493,0.9485212845896575
2030,mDT_both,D,20,0.808151019729489,0.695242465067134
2030,mDT_both,ALL,200,1.1002237464434328,0.88370018632784
2030,skDT,A,80,1.0878793555139517,0.8937021261282707
2030,skDT,B,60,1.3577054643671909,1.0645424987775038
2030,skDT,C,40,0.9937538998955672,0.8253205299673491
2030,skDT,D,20,0.7992473446316257,0.6738953291464562
2030,skDT,ALL,200,1.1211388959580142,0.8948555302874657
2030,skRF,A,80,0.8816981054197294,0.7432488158430326
2030,skRF,B,60,1.2451080351603991,0.9987079798635342
2030,skRF,C,40,0.8235113120951766,0.6275448225955556
2030,skRF,D,20,0.7912090156724076,0.712860281737022
2030,skRF,ALL,200,0.9700348167022876,0.785148465276392
2030,naive,A,80,3.0623649182048056,2.54212996085478
2030,naive,B,60,3.446407232656976,2.7680787911566336
2030,naive,C,40,1.4812960904961125,1.3511096815713168
2030,naive,D,20,0.862647206247681,0.7154034719939255
2030,naive,ALL,200,2.641392075803006,1.9198078639153486
2030,snaive,A,80,0.9815799975789793,0.7933603998611427
2030,snaive,B,60,0.9728156169148292,0.8004602702926547
2030,snaive,C,40,1.2373257501902544,1.0866958452845317
2030,snaive,D,20,1.0591954715874605,0.8788235597470722
2030,snaive,ALL,200,1.0378613813028374,0.8641823574215524
2030,ets,A,80,0.7244038739305876,0.6131228121937792
2030,ets,B,60,0.8479494173338347,0.6702817767297897
2030,ets,C,40,0.6746423959474289,0.49288212022154587
2030,ets,D,20,0.8346967517747172,0.7208229309926769
2030,ets,ALL,200,0.762544529139343,0.615154431567265
2030,arima,A,80,0.7264879989068581,0.6038521221550364
2030,arima,B,60,0.7291927258391849,0.6320844446641016
2030,arima,C,40,0.5890283291743178,0.44503819778261866
2030,arima,D,20,0.7803644838596907,0.6397490424511482
2030,arima,ALL,200,0.7051951315353314,0.5779775984609572
